Data set,Source,Field?,Dim,Predator subphylum/ class,Predator order,Predator,Predator scientific name,Predator type,Prey class,Prey order,Prey,Prey scientific name,Prey type,Data type,Replaced?,Hours starved,Temp (C ),Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Predator mass regression code,Prey mass (mg),Prey mass source code,Prey mass regression code,Water type,Dataset ID,R2 (mean or only),a,CI a low,CI a hi,h,CI h low,CI h hi,Num bootstraps,Notes
1758,Bergman 1988 J OF ANIMAL ECOLOGY,,3,Actinopterygii,Perciformes,Ruffe,Gymnocephalus cernua,Wild caught,Insecta,Chaoboridae,Phantom midge,Chaoborus obscuripes,Adult?,Mean,N,,18,2,,90000,1.50E+04,Original species length,Species,8.69E+00,Alternate species length,Order,Fresh,1758,0.54,1.21E+01,6.68E+00,2.42E+01,2.57E-05,9.48E-06,4.42E-05,200,10lux
1759,Bergman 1988 J OF ANIMAL ECOLOGY,,3,Actinopterygii,Perciformes,European perch,Perca fluviatilis,Wild caught,Insecta,Chaoboridae,Phantom midge,Chaoborus obscuripes,Adult?,Mean,N,,18,2,,90000,1.22E+04,Original species length,Species,8.69E+00,Alternate species length,Order,Fresh,1759,0.33,1.31E+02,7.61E+01,3.15E+02,1.65E-05,1.40E-05,1.99E-05,200,1lux
1760,Bergman 1988 J OF ANIMAL ECOLOGY,,3,Actinopterygii,Perciformes,Ruffe,Gymnocephalus cernua,Wild caught,Insecta,Chaoboridae,Phantom midge,Chaoborus obscuripes,Adult?,Mean,N,,18,2,,90000,1.50E+04,Original species length,Species,8.69E+00,Alternate species length,Order,Fresh,1760,0.48,1.52E+01,8.66E+00,3.21E+01,4.19E-05,2.35E-05,6.15E-05,200,1lux
1761,Bergman 1988 J OF ANIMAL ECOLOGY,,3,Actinopterygii,Perciformes,European perch,Perca fluviatilis,Wild caught,Insecta,Chaoboridae,Phantom midge,Chaoborus obscuripes,Adult?,Mean,N,,18,2,,90000,1.22E+04,Original species length,Species,8.69E+00,Alternate species length,Order,Fresh,1761,0.37,3.66E+01,2.38E+01,6.57E+01,6.60E-05,5.90E-05,7.46E-05,200,0.02lux
1762,Bergman 1988 J OF ANIMAL ECOLOGY,,3,Actinopterygii,Perciformes,Ruffe,Gymnocephalus cernua,Wild caught,Insecta,Chaoboridae,Phantom midge,Chaoborus obscuripes,Adult?,Mean,N,,18,2,,90000,1.50E+04,Original species length,Species,8.69E+00,Alternate species length,Order,Fresh,1762,0.46,2.26E+01,1.40E+01,4.15E+01,5.61E-05,4.58E-05,7.01E-05,200,0.02lux
1763,Bergman 1988 J OF ANIMAL ECOLOGY,,3,Actinopterygii,Perciformes,Ruffe,Gymnocephalus cernua,Wild caught,Insecta,Chaoboridae,Phantom midge,Chaoborus obscuripes,Adult?,Mean,N,,18,2,,90000,1.50E+04,Original species length,Species,8.69E+00,Alternate species length,Order,Fresh,1763,0.6,5.53E+00,3.59E+00,1.33E+01,4.73E-05,2.36E-05,8.27E-05,200,0lux
1764,Anderson et al 1978 J ANIM ECOL,,3,Actinopterygii,Cypriniformes,Zebrafish,Danio rerio,Adult?,Crustacea,Cladocera,,Daphnia magna,Adult?,Mean,N,1,24.5,,,400,2.91E+02,Alternate species length,Family,9.90E-01,Average species mass,,Fresh,1764,0.92,4.20E-02,3.38E-02,5.34E-02,2.57E-04,2.22E-04,2.92E-04,200,
1765,Anderson et al 1978 J ANIM ECOL,,3,Actinopterygii,Cypriniformes,Zebrafish,Danio rerio,Adult?,Crustacea,Cladocera,,Daphnia magna,Adult?,Mean,N,24,24.5,,,400,2.91E+02,Alternate species length,Family,9.90E-01,Average species mass,,Fresh,1765,0.91,4.23E-02,3.85E-02,4.61E-02,1.42E-04,1.31E-04,1.53E-04,200,
1766,Gulbrandsen 1991 AQUACULTURE,,3,Actinopterygii,Pleuronectiformes,Atlantic halibut,Hippoglossus hippoglossus,Larvae,Eurotatoria,Brachionidae,Rotifer,Brachionus plicatilis,Adult?,Mean,Y,,12,50,,25000,1.77E+00,Alternate species length,Species,,,,Marine,1766,0.07,3.84E-06,1.59E-06,9.98E-06,2.07E-01,1.58E-01,2.56E-01,200,Experiment 1
1767,Gulbrandsen 1991 AQUACULTURE,,3,Actinopterygii,Pleuronectiformes,Atlantic halibut,Hippoglossus hippoglossus,Larvae,Eurotatoria,Brachionidae,Rotifer,Brachionus plicatilis,Adult?,Mean,Y,,12,50,,25000,1.77E+00,Alternate species length,Species,,,,Marine,1767,0.13,1.17E-06,8.24E-07,1.93E-06,1.57E-01,1.28E-01,1.91E-01,200,Experiment 2
1768,Gulbrandsen 1991 AQUACULTURE,,3,Actinopterygii,Pleuronectiformes,Atlantic halibut,Hippoglossus hippoglossus,Larvae,Eurotatoria,Brachionidae,Rotifer,Brachionus plicatilis,Adult?,Mean,Y,,12,50,,25000,1.77E+00,Alternate species length,Species,,,,Marine,1768,0.1,2.13E-06,1.09E-06,4.90E-06,1.05E-01,7.96E-02,1.33E-01,200,Experiment 3
1832,Buckel and Stoner 2000 J EXP MAR BIO ECOL,,3,Actinopterygii,Perciformes,Bluefish,Pomatomus saltatrix,Young of the year E,Actinopterygii,,"Atlantic silverside, Striped bass","Menidia menidia, Morone saxatilis",Small,Mean,N,12,20.5,1,,2492853.771,8.14E+03,Original species length,Species,5.22E+03,Original length,Species,Marine,1832,0.62,2.26E+01,1.44E+01,3.24E+01,4.19E-03,4.89E-06,8.01E-03,200,
1833,Buckel and Stoner 2000 J EXP MAR BIO ECOL,,3,Actinopterygii,Perciformes,Bluefish,Pomatomus saltatrix,Young of the year F,Actinopterygii,,"Atlantic silverside, Striped bass","Menidia menidia, Morone saxatilis",Large,Mean,N,24,20.5,1,,2492853.771,4.38E+04,Original species length,Species,3.02E+04,Original length,Species,Marine,1833,0.12,3.40E+01,8.89E+00,2.33E+02,3.09E-02,1.55E-02,4.40E-02,200,
1834,Buckel and Stoner 2000 J EXP MAR BIO ECOL,,3,Actinopterygii,Perciformes,Bluefish,Pomatomus saltatrix,Young of the year G,Actinopterygii,Perciformes,Striped bass,Morone saxatilis,Juvenile C,Mean,N,24,20.5,1,,2492853.771,2.16E+04,Original species length,Species,9.57E+02,Original speices length,Species,Marine,1834,0.39,2.14E+01,1.38E+01,5.24E+01,2.57E-02,1.71E-02,3.92E-02,200,
1859,Townsend and Risebrow 1982 OEC,,3,Actinopterygii,Cypriniformes,Freshwater bream,Abramis brama,Underyearling,Crustacea,Cladocera,Daphnia,Daphnia magna,Adult?,Mean,N,24,25,1,,1800,3.54E+03,Original species length,Species ,2.20E+00,Average species mass,,Fresh,1859,0.07,2.24E+00,5.53E-01,2.57E+01,2.51E-04,1.40E-04,3.54E-04,200,Light = 1.25 Lux
1860,Koski and Johnson 2002,,3,Actinopterygii,Salmoniformes,Sockeye salmon,Oncorhynchus nerka,"Fingerling, 2m old",Crustacea,Cladocera,Daphnia,Daphnia spp.,,Raw data,Y,19.7,19,1,,35000,3.00E+03,Original species mass,,,,,Fresh,1860,0.6,8.73E+01,7.52E+01,9.94E+01,NaN,NaN,NaN,1,30 Lux
1895,Wasserman et al 2016 FUNCTIONAL ECOLOGY,,3,Actinopterygii,Perciformes,"Bluegill, Southern mouthbrooder","Lepomis macrochirus, Pseudocrenilabrus philander",Wild caught,Actinopterygii,Cichlidae,Mozambique tilapia,Oreochromis mossambicus,,Mean,N,2,18,1,,26000,,,,2.88E+01,Original species length,Species,Fresh,1895,0.85,4.30E-01,3.72E-01,5.00E-01,2.13E-03,1.81E-03,2.54E-03,200,
1896,Wasserman et al 2016 FUNCTIONAL ECOLOGY,,3,Actinopterygii,Perciformes,"Bluegill, Banded tilapia","Lepomis macrochirus,  Tilapia sparrmanii",Wild caught,Actinopterygii,Cichlidae,Mozambique tilapia,Oreochromis mossambicus,,Mean,N,2,18,1,,26000,,,,2.88E+01,Original species length,Species,Fresh,1896,0.7,3.58E-01,2.91E-01,4.10E-01,4.83E-03,4.23E-03,5.58E-03,200,
1897,Wasserman et al 2016 FUNCTIONAL ECOLOGY,,3,Actinopterygii,Perciformes,"Southern mouthbrooder, Banded tilapia"," Pseudocrenilabrus philander, Tilapia sparrmanii",Wild caught,Actinopterygii,Cichlidae,Mozambique tilapia,Oreochromis mossambicus,,Mean,N,2,18,1,,26000,,,,2.88E+01,Original species length,Species,Fresh,1897,0.73,5.91E-01,5.15E-01,6.89E-01,4.94E-03,4.41E-03,5.45E-03,200,
