"","Data.set","Source","Field.","Dim","Predator.subphylum..class","Predator.order","Predator","Predator.scientific.name","Predator.type","Prey.class","Prey.order","Prey","Prey.scientific.name","Prey.type","Data.type","Replaced.","Hours.starved","Temp..C..","Pred.per.arena","X2D.Arena.size..cm2...bottom.SA.","X3D.arena.size..cm3.","Predator.mass..mg.","Predator.mass.source.code","Predator.mass.regression.code","Prey.mass..mg.","Prey.mass.source.code","Prey.mass.regression.code","Water.type","Dataset.ID","R2..mean.or.only.","a","CI.a.low","CI.a.hi","h","CI.h.low","CI.h.hi","Num.bootstraps","Notes","mean.aspect.ratio"
"316",1692,"Vollset and Bailey 2011 J OF FISH BIOLOGY","",3,"Actinopterygii","Gasterosteiformes","Three-spined stickleback","Gasterosteus aculeatus","Wild caught","Branchiopoda","Artemiidae","Brine shrimp","Artemia spp.","","Raw data","N",48,14.95,"1",NA,20000,28.9,"Original species length","Species",NA,"","","Marine",1692,0.7,0.12,0.0733,0.167,0.000676,0.000554,0.000797,1,"Turbid water, 6.8±2.2 beam attenuation coefficient (m-1)",2.03993
"317",1693,"Alexander et al 2014 ENVIRONMENTAL BIOLOGY OF FISHES","",3,"Actinopterygii","Perciformes","Largemouth black bass","Micropterus salmoides","Juvenile, wild caught","Actinopterygii","Poeciliidae","Guppy","Poecilia reticulata","female","Mean","N",24,23.01,"1",NA,3e+05,7840,"Original species length","Species",53.3,"Original species length","Species","Fresh",1693,0.38,1.46,0.641,4.16,0.0172,0.00658,0.0335,200,"High habitat complexity, 2700 polyethylene strips (40mmx15mm) per m2",1.215755
"318",1694,"Alexander et al 2014 ENVIRONMENTAL BIOLOGY OF FISHES","",3,"Actinopterygii","Perciformes","Largemouth black bass","Micropterus salmoides","Juvenile, wild caught","Actinopterygii","Poeciliidae","Guppy","Poecilia reticulata","female","Mean","N",24,23.01,"1",NA,3e+05,7840,"Original species length","Species",53.3,"Original species length","Species","Fresh",1694,0.53,4.23,3.27,5.47,0.0147,0.013,0.017,200,"Medium habitat complexity, 1800 polyethylene strips (40mmx15mm) per m2",1.215755
"319",1695,"Alexander et al 2014 ENVIRONMENTAL BIOLOGY OF FISHES","",3,"Actinopterygii","Perciformes","Largemouth black bass","Micropterus salmoides","Juvenile, wild caught","Actinopterygii","Poeciliidae","Guppy","Poecilia reticulata","female","Mean","N",24,23.01,"1",NA,3e+05,7840,"Original species length","Species",53.3,"Original species length","Species","Fresh",1695,0.7,3.38,2.36,4.82,0.0113,0.00814,0.0149,200,"Low habitat complexity, 900 polyethylene strips (40mmx15mm) per m2",1.215755
"320",1696,"Alexander et al 2014 ENVIRONMENTAL BIOLOGY OF FISHES","",3,"Actinopterygii","Perciformes","Largemouth black bass","Micropterus salmoides","Juvenile, wild caught","Actinopterygii","Poeciliidae","Guppy","Poecilia reticulata","female","Mean","N",24,23.01,"1",NA,3e+05,7840,"Original species length","Species",53.3,"Original species length","Species","Fresh",1696,0.66,1.96,0.927,3.72,0.0112,0.005,0.0178,200,"Zero habitat complexity",1.215755
"321",1697,"Ohlberger et al 2008 CANADIAN J OF FISHERIES AND AQUATIC SCIENCES","",3,"Actinopterygii","Salmoniformes","Common vendace","Coregonus albula","Juvenile","Branchiopoda","Daphniidae","Water flea","Daphnia magna","Adult?","Raw data","N",NA,8,"1",NA,80000,6770,"Original species length","Species",0.869,"Original species length","Order","Fresh",1697,0.87,37.2,24.9,49.5,1.46e-05,1.21e-05,1.71e-05,1,"5±0.01 lux",2.82288
"322",1698,"Ohlberger et al 2008 CANADIAN J OF FISHERIES AND AQUATIC SCIENCES","",3,"Actinopterygii","Salmoniformes","Dwarf-sized Fontane cisco","Coregonus fontanae","Juvenile","Branchiopoda","Daphniidae","Water flea","Daphnia magna","Adult?","Raw data","N",NA,8,"1",NA,80000,4550,"Original species length","Genus",0.869,"Original species length","Order","Fresh",1698,0.84,34.3,23.4,45.2,1.98e-05,1.68e-05,2.28e-05,1,"5±0.01 lux",NA
"323",1699,"Ohlberger et al 2008 CANADIAN J OF FISHERIES AND AQUATIC SCIENCES","",3,"Actinopterygii","Salmoniformes","Common vendace","Coregonus albula","Juvenile","Branchiopoda","Daphniidae","Water flea","Daphnia magna","Adult?","Raw data","N",NA,8,"1",NA,80000,6770,"Original species length","Species",0.869,"Original species length","Order","Fresh",1699,0.88,22.6,15.9,29.4,1.77e-05,1.42e-05,2.12e-05,1,"0.5±0.02 lux",2.82288
"324",1700,"Ohlberger et al 2008 CANADIAN J OF FISHERIES AND AQUATIC SCIENCES","",3,"Actinopterygii","Salmoniformes","Dwarf-sized Fontane cisco","Coregonus fontanae","Juvenile","Branchiopoda","Daphniidae","Water flea","Daphnia magna","Adult?","Raw data","N",NA,8,"1",NA,80000,4550,"Original species length","Genus",0.869,"Original species length","Order","Fresh",1700,0.86,19,13.6,24.4,2.11e-05,1.69e-05,2.53e-05,1,"0.5±0.02 lux",NA
"325",1701,"Ohlberger et al 2008 CANADIAN J OF FISHERIES AND AQUATIC SCIENCES","",3,"Actinopterygii","Salmoniformes","Common vendace","Coregonus albula","Juvenile","Branchiopoda","Daphniidae","Water flea","Daphnia magna","Adult?","Raw data","N",NA,8,"1",NA,80000,6770,"Original species length","Species",0.869,"Original species length","Order","Fresh",1701,0.83,4.04,2.4,5.69,3.59e-05,1.72e-05,5.46e-05,1,"0.05±0.005 lux",2.82288
"326",1702,"Ohlberger et al 2008 CANADIAN J OF FISHERIES AND AQUATIC SCIENCES","",3,"Actinopterygii","Salmoniformes","Dwarf-sized Fontane cisco","Coregonus fontanae","Juvenile","Branchiopoda","Daphniidae","Water flea","Daphnia magna","Adult?","Raw data","N",NA,8,"1",NA,80000,4550,"Original species length","Genus",0.869,"Original species length","Order","Fresh",1702,0.95,3.45,2.47,4.43,3.06e-05,1.78e-05,4.34e-05,1,"0.05±0.005 lux",NA
"327",1703,"Persson and Greenberg 1990 ECOLOGY","",3,"Actinopterygii","Perciformes","European perch","Perca fluviatilis","0+ year","Branchiopoda","Daphniidae","Water flea","Daphnia spp. ","Large","Mean","N",NA,NA,"",NA,124800000,945,"Alternate species length","Species",1.15,"Original species length","Order","Fresh",1703,0.97,187,173,202,1.07e-05,1.05e-05,1.09e-05,200,"Predator mass is wet weight",1.397205
"328",1704,"Persson and Greenberg 1990 ECOLOGY","",3,"Actinopterygii","Perciformes","European perch","Perca fluviatilis","0+ year","Branchiopoda","Daphniidae","Water flea","Daphnia spp. ","Medium","Mean","N",NA,NA,"",NA,124800000,945,"Alternate species length","Species",0.203,"Original species length","Order","Fresh",1704,0.86,89,82.4,95.9,1.05e-05,1.02e-05,1.08e-05,200,"Predator mass is wet weight",1.397205
"329",1705,"Persson and Greenberg 1990 ECOLOGY","",3,"Actinopterygii","Perciformes","European perch","Perca fluviatilis","0+ year","Branchiopoda","Daphniidae","Water flea","Daphnia spp. ","Small","Mean","N",NA,NA,"",NA,124800000,945,"Alternate species length","Species",0.0297,"Original species length","Order","Fresh",1705,0.98,5.06,4.66,5.51,7.57e-06,6.69e-06,8.4e-06,200,"Predator mass is wet weight",1.397205
"330",1706,"Hedgespeth et al 2014 AQUATIC TOXICOLOGY","",3,"Actinopterygii","Perciformes","European perch","Perca fluviatilis","Juvenile, wild caught","Branchiopoda","Daphniidae","Water flea","Daphnia magna","Adult?","Mean","N",12,12,"1",NA,3500,945,"Original species length","Species",0.99,"Average species mass","","Fresh",1706,0.27,8.07,6.32,10.4,2.44e-05,2.27e-05,2.68e-05,200,"",1.397205
"331",1707,"Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES","",3,"Actinopterygii","Perciformes","European perch","Perca fluviatilis","Adult?","Insecta","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,20,"2",NA,90000,12200,"Original species length","Species",8.69,"Alternate species length","Order","Fresh",1707,0.65,132,107,171,1.11e-05,9.31e-06,1.33e-05,200,"Predator mass is wet weight",1.397205
"332",1708,"Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES","",3,"Actinopterygii","Perciformes","Ruffe","Gymnocephalus cernua","Adult?","Insecta","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,20,"2",NA,90000,15000,"Original species length","Species",8.69,"Alternate species length","Order","Fresh",1708,0.4,50.9,31.2,80.9,3.66e-05,3.01e-05,4.48e-05,200,"Predator mass is wet weight",1.1475375
"333",1709,"Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES","",3,"Actinopterygii","Perciformes","European perch","Perca fluviatilis","Adult?","Insecta","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,16,"2",NA,90000,12200,"Original species length","Species",8.69,"Alternate species length","Order","Fresh",1709,0.55,209,152,336,1.19e-05,1.06e-05,1.36e-05,200,"Predator mass is wet weight",1.397205
"334",1710,"Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES","",3,"Actinopterygii","Perciformes","Ruffe","Gymnocephalus cernua","Adult?","Insecta","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,16,"2",NA,90000,15000,"Original species length","Species",8.69,"Alternate species length","Order","Fresh",1710,0.62,17.4,11,26.4,3.77e-05,2.77e-05,4.77e-05,200,"Predator mass is wet weight",1.1475375
"335",1711,"Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES","",3,"Actinopterygii","Perciformes","European perch","Perca fluviatilis","Adult?","Insecta","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,12,"2",NA,90000,12200,"Original species length","Species",8.69,"Alternate species length","Order","Fresh",1711,0.35,68.9,26.8,184,1.93e-05,1.17e-05,2.68e-05,200,"Predator mass is wet weight",1.397205
"336",1712,"Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES","",3,"Actinopterygii","Perciformes","Ruffe","Gymnocephalus cernua","Adult?","Insecta","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,13,"2",NA,90000,15000,"Original species length","Species",8.69,"Alternate species length","Order","Fresh",1712,0.57,19.8,12.5,35,5.29e-05,4.42e-05,6.39e-05,200,"Predator mass is wet weight",1.1475375
"337",1713,"Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES","",3,"Actinopterygii","Perciformes","European perch","Perca fluviatilis","Adult?","Insecta","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,8,"2",NA,90000,12200,"Original species length","Species",8.69,"Alternate species length","Order","Fresh",1713,0.18,248,134,584,3.35e-05,2.93e-05,3.72e-05,200,"Predator mass is wet weight",1.397205
"338",1714,"Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES","",3,"Actinopterygii","Perciformes","Ruffe","Gymnocephalus cernua","Adult?","Insecta","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,8,"2",NA,90000,15000,"Original species length","Species",8.69,"Alternate species length","Order","Fresh",1714,0.41,52.5,30.3,81.9,5.28e-05,4.52e-05,6.16e-05,200,"Predator mass is wet weight",1.1475375
"339",1715,"Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES","",3,"Actinopterygii","Perciformes","European perch","Perca fluviatilis","Adult?","Insecta","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,4,"2",NA,90000,12200,"Original species length","Species",8.69,"Alternate species length","Order","Fresh",1715,0.09,144,40.2,643,7.53e-05,6.14e-05,9.02e-05,200,"Predator mass is wet weight",1.397205
"340",1716,"Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES","",3,"Actinopterygii","Perciformes","Ruffe","Gymnocephalus cernua","Adult?","Insecta","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,4,"2",NA,90000,15000,"Original species length","Species",8.69,"Alternate species length","Order","Fresh",1716,0.48,21.5,10.3,34.1,6.61e-05,4.67e-05,8.19e-05,200,"Predator mass is wet weight",1.1475375
"341",1717,"Wellington et al 2010 J OF FISH BIOLOGY","",3,"Actinopterygii","Perciformes","American yellow perch","Perca flavescens","Larvae","","","Zooplankton","","Adult?","Mean","N",20,19.75,"3",NA,30000,99.5,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","Fresh",1717,0.32,0.0396,0.0129,0.749,0.000369,4.25e-05,0.000846,200,"Sedimentary turbidity, lake sediment, particles <75 micrometers",1.23413
"342",1718,"Wellington et al 2010 J OF FISH BIOLOGY","",3,"Actinopterygii","Perciformes","American yellow perch","Perca flavescens","Larvae","","","Zooplankton","","Adult?","Mean","N",20,19.75,"3",NA,30000,99.5,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","Fresh",1718,0.28,0.0539,0.00741,0.623,0.000726,4.74e-06,0.00123,200,"Turbidity from phytoplankton supplemented with spinach slurry",1.23413
"343",1719,"Wellington et al 2010 J OF FISH BIOLOGY","",3,"Actinopterygii","Perciformes","American yellow perch","Perca flavescens","Larvae","","","Zooplankton","","Adult?","Mean","N",20,19.75,"3",NA,30000,99.5,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","Fresh",1719,0.22,0.0754,0.00697,0.924,0.000729,1.69e-11,0.00116,200,"<5-20 NTU Sedimentary turbidity",1.23413
"344",1720,"Wellington et al 2010 J OF FISH BIOLOGY","",3,"Actinopterygii","Perciformes","American yellow perch","Perca flavescens","Larvae","","","Zooplankton","","Adult?","Mean","N",20,19.75,"3",NA,30000,99.5,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","Fresh",1720,0.48,0.0318,0.015,0.328,0.000378,0.000249,0.000701,200,"50-100 NTU Sedimentary turbidity",1.23413
"345",1721,"Wellington et al 2010 J OF FISH BIOLOGY","",3,"Actinopterygii","Perciformes","American yellow perch","Perca flavescens","Larvae","","","Zooplankton","","Adult?","Mean","N",20,19.75,"3",NA,30000,99.5,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","Fresh",1721,0.44,0.0339,0.0137,0.165,0.000555,0.000345,0.000888,200,"<5-20 NTU Phytoplanktonic turbidity",1.23413
"346",1722,"Wellington et al 2010 J OF FISH BIOLOGY","",3,"Actinopterygii","Perciformes","American yellow perch","Perca flavescens","Larvae","","","Zooplankton","","Adult?","Mean","N",20,19.75,"3",NA,30000,99.5,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","Fresh",1722,0.37,0.0266,0.0174,0.0542,0.000828,0.000606,0.00117,200,"50-100 NTU Phytoplanktonic turbidity",1.23413
"347",1723,"Wellington et al 2010 J OF FISH BIOLOGY","",3,"Actinopterygii","Perciformes","American yellow perch","Perca flavescens","Juvenile","","","Zooplankton","","Adult?","Mean","N",20,22.5,"3",NA,30000,1320,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","Fresh",1723,0.39,0.0472,0.0181,0.736,0.000177,5.29e-05,0.000389,200,"Sedimentary turbidity, lake sediment, particles <75 micrometers",1.23413
"348",1724,"Wellington et al 2010 J OF FISH BIOLOGY","",3,"Actinopterygii","Perciformes","American yellow perch","Perca flavescens","Juvenile","","","Zooplankton","","Adult?","Mean","N",20,22.5,"3",NA,30000,1320,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","Fresh",1724,0.28,0.101,0.0235,1.08,0.000499,2.41e-11,0.00121,200,"Turbidity from phytoplankton supplemented with spinach slurry",1.23413
"349",1725,"Wellington et al 2010 J OF FISH BIOLOGY","",3,"Actinopterygii","Perciformes","American yellow perch","Perca flavescens","Juvenile","","","Zooplankton","","Adult?","Mean","N",20,22.5,"3",NA,30000,1320,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","Fresh",1725,0.27,0.0224,0.0146,0.0538,2.53e-05,3.69e-12,0.000188,200,"<5-20 NTU Sedimentary turbidity",1.23413
"350",1726,"Wellington et al 2010 J OF FISH BIOLOGY","",3,"Actinopterygii","Perciformes","American yellow perch","Perca flavescens","Juvenile","","","Zooplankton","","Adult?","Mean","N",20,22.5,"3",NA,30000,1320,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","Fresh",1726,0.4,0.0757,0.0307,0.605,0.000371,2e-04,0.000593,200,"50-100 NTU Sedimentary turbidity",1.23413
"351",1727,"Wellington et al 2010 J OF FISH BIOLOGY","",3,"Actinopterygii","Perciformes","American yellow perch","Perca flavescens","Juvenile","","","Zooplankton","","Adult?","Mean","N",20,22.5,"3",NA,30000,1320,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","Fresh",1727,0.35,0.0324,0.019,0.549,5.23e-05,1.22e-11,0.000756,200,"<5-20 NTU Phytoplanktonic turbidity",1.23413
"352",1728,"Wellington et al 2010 J OF FISH BIOLOGY","",3,"Actinopterygii","Perciformes","American yellow perch","Perca flavescens","Juvenile","","","Zooplankton","","Adult?","Mean","N",20,22.5,"3",NA,30000,1320,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","Fresh",1728,0.13,0.0266,0.00283,0.15,0.0106,0.00462,0.0154,200,"50-100 NTU Phytoplanktonic turbidity",1.23413
"353",1729,"Ljunggren and Sandstr?m 2007 J OF FISH BIOLOGY","",3,"Actinopterygii","Perciformes","European perch","Perca fluviatilis","Young of the year, Wild caught","Malacostraca","Mysinae","Mysid","Neomysis integer","Wild caught","Mean","N",12,20,"1 or 3",NA,130000,1990,"Original species length","Species",NA,"","","Marine",1729,0.17,31.6,17.5,105,0.00109,0.00095,0.00125,200,"Clear water, 3NTU, prey mass is wet mass",1.397205
"354",1730,"Ljunggren and Sandstr?m 2007 J OF FISH BIOLOGY","",3,"Actinopterygii","Perciformes","European perch","Perca fluviatilis","Young of the year, Wild caught","Malacostraca","Mysinae","Mysid","Neomysis integer","Wild caught","Mean","N",12,20,"1 or 3",NA,130000,1990,"Original species length","Species",NA,"","","Marine",1730,0.2,15.7,7.8,48.5,0.00143,0.00119,0.00171,200,"Turbid water, 25NTU, turbidity from bentonite clay, prey mass is wet mass",1.397205
"355",1731,"Ljunggren and Sandstr?m 2007 J OF FISH BIOLOGY","",3,"Actinopterygii","Perciformes","Pike-perch","Sander lucioperca","Young of the year, Wild caught","Malacostraca","Mysinae","Mysid","Neomysis integer","Wild caught","Mean","N",12,20,"1 or 3",NA,130000,1620,"Original species length","Species",NA,"","","Marine",1731,0.24,9.31,4.47,47.5,0.00145,0.00116,0.00185,200,"Clear water, 3NTU, prey mass is wet mass",1.388525
"356",1732,"Ljunggren and Sandstr?m 2007 J OF FISH BIOLOGY","",3,"Actinopterygii","Perciformes","Pike-perch","Sander lucioperca","Young of the year, Wild caught","Malacostraca","Mysinae","Mysid","Neomysis integer","Wild caught","Mean","N",12,20,"1 or 3",NA,130000,1620,"Original species length","Species",NA,"","","Marine",1732,0.31,8.28,4.99,25,0.00132,0.00101,0.00171,200,"Turbid water, 25NTU, turbidity from bentonite clay, prey mass is wet mass",1.388525
"357",1733,"Hjelm and Johansson 2003 PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON","",3,"Actinopterygii","Cypriniformes","Roach","Rutilus rutilus","Young of the year, born 1995","","","Zooplankton","","Adult?","Mean","N",NA,NA,"1",NA,20000,634,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","Fresh",1733,0.93,11.5,10.4,12.9,1.04e-05,9.75e-06,1.13e-05,200,"Wide gill rakers, 0.20±0.002mm",1.472685
"358",1734,"Hjelm and Johansson 2003 PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON","",3,"Actinopterygii","Cypriniformes","Roach","Rutilus rutilus","Young of the year, born 1997","","","Zooplankton","","Adult?","Mean","N",NA,NA,"1",NA,20000,634,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","Fresh",1734,0.93,15.1,13.6,16.8,9.91e-06,9.31e-06,1.06e-05,200,"Narrow gill rakers, 0.18±0.003mm",1.472685
"359",1735,"Hjelm and Johansson 2003 PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON","",3,"Actinopterygii","Cypriniformes","Roach","Rutilus rutilus","Young of the year, born 1995","","","Zooplankton","","Adult?","Mean","N",NA,NA,"1",NA,20000,634,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","Fresh",1735,0.88,17,15.1,19,1.1e-05,1.04e-05,1.18e-05,200,"Wide gill rakers, 0.20±0.002mm",1.472685
"360",1736,"Hjelm and Johansson 2003 PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON","",3,"Actinopterygii","Cypriniformes","Roach","Rutilus rutilus","Young of the year, born 1997","","","Zooplankton","","Adult?","Mean","N",NA,NA,"1",NA,20000,634,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","Fresh",1736,0.91,12.7,11.4,14.2,1.1e-05,1.03e-05,1.18e-05,200,"Narrow gill rakers, 0.18±0.003mm",1.472685
"361",1737,"Johansson and Leonardsson 1998 CANADIAN J OF ZOOLOGY ","",3,"Actinopterygii","Cyprinodontiformes","Mosquito fish","Gambusia affinis","","Branchiopoda","Daphniidae","Water flea","Daphnia pulex","Adult?","Mean","N",NA,18,"1",NA,16000,139,"Original species length","Species",0.0657,"Original speices length","Order","Fresh",1737,0.04,8.57,2.05,68.1,0.000115,6.91e-05,0.000153,200,"In presence of the Green Sunfish, Lepomis cyanellus, with refuge space provided",0.895455
"362",1738,"Johansson and Leonardsson 1998 CANADIAN J OF ZOOLOGY ","",3,"Actinopterygii","Cyprinodontiformes","Mosquito fish","Gambusia affinis","","Branchiopoda","Daphniidae","Water flea","Daphnia pulex","Adult?","Mean","N",NA,18,"6",NA,16000,139,"Original species length","Species",0.0657,"Original speices length","Order","Fresh",1738,0.08,24,12.8,127,8.22e-05,7.01e-05,9.82e-05,200,"In presence of the Green Sunfish, Lepomis cyanellus, with refuge space provided",0.895455
"363",1739,"Johansson and Leonardsson 1998 CANADIAN J OF ZOOLOGY ","",3,"Actinopterygii","Cyprinodontiformes","Mosquito fish","Gambusia affinis","","Branchiopoda","Daphniidae","Water flea","Daphnia pulex","Adult?","Mean","N",NA,18,"12",NA,16000,139,"Original species length","Species",0.0657,"Original speices length","Order","Fresh",1739,0.34,5.88,3.54,11.5,7.9e-05,6.09e-05,0.000107,200,"In presence of the Green Sunfish, Lepomis cyanellus, with refuge space provided",0.895455
"364",1740,"Johansson and Leonardsson 1998 CANADIAN J OF ZOOLOGY ","",3,"Actinopterygii","Cyprinodontiformes","Mosquito fish","Gambusia affinis","","Branchiopoda","Daphniidae","Water flea","Daphnia pulex","Adult?","Mean","N",NA,18,"18",NA,16000,139,"Original species length","Species",0.0657,"Original speices length","Order","Fresh",1740,0.36,4.3,2.02,7.33,7.14e-05,3.54e-05,0.000107,200,"In presence of the Green Sunfish, Lepomis cyanellus, with refuge space provided",0.895455
"365",1741,"Johansson 1987 OECOLOGIA","",3,"Actinopterygii","Cypriniformes","Roach","Rutilus rutilus","","Branchiopoda","","Water flea","Daphnia magna","Adult?","Raw data","N",NA,18.5,"2",NA,70000,10200,"Original species length","Species",0.99,"Average species mass","","Fresh",1741,0.58,247,154,341,6.34e-06,5.24e-06,7.43e-06,1,"",1.472685
"366",1742,"Johansson 1987 OECOLOGIA","",3,"Actinopterygii","Cypriniformes","Rudd","Scardinius erythrophthalmus","","Branchiopoda","Daphniidae","Water flea","Daphnia magna","Adult?","Raw data","N",NA,18.5,"2",NA,70000,11100,"Original species length","Species",0.99,"Average species mass","","Fresh",1742,0.5,265,155,374,1.01e-05,8.62e-06,1.15e-05,1,"",1.76594
"367",1743,"Johansson 1987 OECOLOGIA","",3,"Actinopterygii","Cypriniformes","Roach","Rutilus rutilus","","Maxillopoda","Cyclopidae","copepod","Cyclops sp.","Adult?","Raw data","N",NA,18.5,"2",NA,70000,10200,"Original species length","Species",0.117,"Original speices length","Order","Fresh",1743,0.73,30.7,20.7,40.7,1.29e-05,1.12e-05,1.45e-05,1,"",1.472685
"368",1744,"Johansson 1987 OECOLOGIA","",3,"Actinopterygii","Cypriniformes","Rudd","Scardinius erythrophthalmus","","Maxillopoda","Cyclopidae","copepod","Cyclops sp.","Adult?","Raw data","N",NA,18.5,"2",NA,70000,11100,"Original species length","Species",0.117,"Original speices length","Order","Fresh",1744,0.69,16.4,11,21.7,1.85e-05,1.59e-05,2.11e-05,1,"",1.76594
"369",1745,"Johnson 2006 ECOLOGY","",3,"Actinopterygii","Scorpaeniformes","Bocaccio rockfish","Sebastes paucispinus","Young of the year, wild caught","Actinopterygii","Sebastidae","Kelp, Gopher, Black-and-Yellow Rockfish","Sebastes atrovirens, S. carnatus, S. chrysomelas","Juvenile, wild caught","Raw data","N",96,NA,"1",NA,9e+06,27800,"Original species length","Genus",154,"Original speices length","Genus","Marine",1745,0.14,0.635,-0.515,1.79,0.761,0.102,1.42,1,"",NA
"370",1746,"Johnson 2006 ECOLOGY","",3,"Actinopterygii","Scorpaeniformes","Bocaccio rockfish","Sebastes paucispinus","Young of the year, wild caught","Actinopterygii","Sebastidae","Kelp, Gopher, Black-and-Yellow Rockfish","Sebastes atrovirens, S. carnatus, S. chrysomelas","Juvenile, wild caught","Raw data","N",96,NA,"3",NA,9e+06,27800,"Original species length","Genus",154,"Original speices length","Genus","Marine",1746,0.46,0.127,-0.0184,0.273,4.97e-07,-1.4,1.4,1,"",NA
"371",1747,"Johnson 2006 ECOLOGY","",3,"Actinopterygii","Scorpaeniformes","Bocaccio rockfish","Sebastes paucispinus","Young of the year, wild caught","Actinopterygii","Sebastidae","Kelp, Gopher, Black-and-Yellow Rockfish","Sebastes atrovirens, S. carnatus, S. chrysomelas","Juvenile, wild caught","Raw data","N",96,NA,"5",NA,9e+06,27800,"Original species length","Genus",154,"Original speices length","Genus","Marine",1747,0.67,0.176,-0.00497,0.356,2.37e-08,-0.912,0.912,1,"",NA
"372",1748,"S?rnes and Aksnes 2004 LIMNOLOGY AND OCEANOGRAPHY","",3,"Actinopterygii","Perciformes","Two-spotted goby","Gobiusculus flavescens","Adult, males","Branchiopoda","Artemiidae","Brine shrimp","Artemia sp.","Nauplii","Mean","N",NA,12,"1",NA,32400,734,"Original species length","Family",NA,"","","Marine",1748,0.51,2.25,1.43,7.25,2.67e-05,2.09e-05,3.75e-05,200,"",1.5117
"373",1749,"Bergman 1988 J OF ANIMAL ECOLOGY","",3,"Actinopterygii","Perciformes","European perch","Perca fluviatilis","Wild caught","Branchiopoda","Daphniidae","Water flea","Daphnia magna","Adult?","Mean","N",NA,18,"2",NA,90000,12200,"Original species length","Species",0.99,"Average species mass","","Fresh",1749,0.34,197,110,507,1.24e-05,1.1e-05,1.41e-05,200,"10lux",1.397205
"374",1750,"Bergman 1988 J OF ANIMAL ECOLOGY","",3,"Actinopterygii","Perciformes","Ruffe","Gymnocephalus cernua","Wild caught","Branchiopoda","Daphniidae","Water flea","Daphnia magna","Adult?","Mean","N",NA,18,"2",NA,90000,15000,"Original species length","Species",0.99,"Average species mass","","Fresh",1750,0.3,45.7,26,86.6,3.75e-05,2.92e-05,4.86e-05,200,"10lux",1.1475375
"375",1751,"Bergman 1988 J OF ANIMAL ECOLOGY","",3,"Actinopterygii","Perciformes","European perch","Perca fluviatilis","Wild caught","Branchiopoda","Daphniidae","Water flea","Daphnia magna","Adult?","Mean","N",NA,18,"2",NA,90000,12200,"Original species length","Species",0.99,"Average species mass","","Fresh",1751,0.38,152,110,231,1.5e-05,1.35e-05,1.69e-05,200,"1lux",1.397205
"376",1752,"Bergman 1988 J OF ANIMAL ECOLOGY","",3,"Actinopterygii","Perciformes","Ruffe","Gymnocephalus cernua","Wild caught","Branchiopoda","Daphniidae","Water flea","Daphnia magna","Adult?","Mean","N",NA,18,"2",NA,90000,15000,"Original species length","Species",0.99,"Average species mass","","Fresh",1752,0.37,47.1,30.8,69.7,3.3e-05,2.68e-05,3.94e-05,200,"1lux",1.1475375
