source,dim,field,water,famly,species,type,prey_cellularity,vert,major_grouping_prey_1,major_grouping_prey_2,prey,prey_species,prey_type,data_type,replace_prey,starvation_time,temp,interference,preds_per_arena,arena_2d,arena_3d,pred_mass,pred_mass_source_code,pred_mass_reg_code,prey_mass,prey_mass_source_code,prey_mass_reg_code,a_units,mean_r2_of_fits,a,a_low,a_hi,h,h_low,h_hi,n_boots,notes_1,notes_2
Miller et al 1992 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Perca flavescens,6d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15,,10,,20000,1.41E+01,Alternate species length,Species,,,,m^3 per pred per day,0.76,3.12E-03,2.72E-03,3.74E-03,6.14E-04,5.34E-04,6.88E-04,200,,
Miller et al 1992 CAN J FISH AQUAT SCI,3,,Fresh,Salmoniformes,Coregonus hoyi,8d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15,,10,,20000,1.29E+01,Alternate species length,Species,,,,m^3 per pred per day,0.59,1.33E-02,1.19E-02,1.51E-02,1.31E-03,1.26E-03,1.36E-03,200,,
Miller et al 1992 CAN J FISH AQUAT SCI,3,,Fresh,Clupeiformes,Alosa pseudoharengus,36d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15,,10,,20000,8.83E+01,Alternate species length,Species,,,,m^3 per pred per day,0.39,1.83E-01,9.25E-02,3.04E-01,3.49E-05,2.25E-05,4.31E-05,200,,
Miller et al 1992 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Perca flavescens,34d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15,,10,,20000,1.14E+02,Alternate species length,Species,,,,m^3 per pred per day,0.38,1.52E-01,8.25E-02,2.28E-01,6.75E-05,4.91E-05,8.82E-05,200,,
Miller et al 1992 CAN J FISH AQUAT SCI,3,,Fresh,Salmoniformes,Coregonus hoyi,37d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15,,10,,20000,1.04E+02,Alternate species length,Species,,,,m^3 per pred per day,0.17,1.77E+00,1.15E+00,2.65E+00,3.74E-05,3.40E-05,4.04E-05,200,,
Miller et al 1992 CAN J FISH AQUAT SCI,3,,Fresh,Clupeiformes,Alosa pseudoharengus,37d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15,,10,,20000,2.84E+02,Alternate species length,Species,,,,m^3 per pred per day,0.58,4.53E-01,2.20E-01,6.46E-01,1.27E-05,9.53E-06,1.67E-05,200,,
Miller et al 1992 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Perca flavescens,65d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15,,10,,20000,3.89E+02,Alternate species length,Species,,,,m^3 per pred per day,0.52,1.88E-01,1.23E-01,2.69E-01,1.78E-05,1.18E-05,2.32E-05,200,,
Miller et al 1992 CAN J FISH AQUAT SCI,3,,Fresh,Salmoniformes,Coregonus hoyi,67d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15,,10,,20000,3.52E+02,Alternate species length,Species,,,,m^3 per pred per day,0.85,1.23E+00,1.05E+00,1.46E+00,1.55E-05,1.39E-05,1.75E-05,200,,
Miller et al 1992 CAN J FISH AQUAT SCI,3,,Fresh,Clupeiformes,Alosa pseudoharengus,45d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15,,10,,20000,6.50E+02,Alternate species length,Species,,,,m^3 per pred per day,0.46,5.80E+00,6.14E-01,7.28E+00,1.05E-05,6.09E-06,1.30E-05,200,,
Miller et al 1992 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Perca flavescens,94d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15,,10,,20000,9.28E+02,Alternate species length,Species,,,,m^3 per pred per day,0.42,1.39E+00,8.73E-01,2.12E+00,6.97E-06,5.44E-06,8.73E-06,200,,
Miller et al 1992 CAN J FISH AQUAT SCI,3,,Fresh,Salmoniformes,Coregonus hoyi,96d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15,,10,,20000,8.37E+02,Alternate species length,Species,,,,m^3 per pred per day,0.77,1.03E+01,9.31E+00,1.14E+01,6.39E-06,6.12E-06,6.70E-06,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Carcharhiniformes,Squalus acanthias,,Metazoan,Vertebrate,Fish,Clupeidae,Atlantic herring,Clupea harengus,,Raw data,Y,,,,,,,4.05E+06,Alternate species length,Species,3.41E+04,Alternate species length,Species,m^3 per pred per day,0.53,3.06E+03,9.32E+02,7.82E+03,6.39E+01,3.64E+01,8.69E+01,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Carcharhiniformes,Squalus acanthias,,Metazoan,Vertebrate,Fish,Merlucciidae,Silver hake,Merluccius bilinearis,,Raw data,Y,,,,,,,4.05E+06,Alternate species length,Species,4.45E+05,Alternate species length,Species,m^3 per pred per day,0.08,1.17E+00,6.86E-01,2.08E+00,1.30E+02,1.06E+02,1.93E+02,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Carcharhiniformes,Squalus acanthias,,Metazoan,Vertebrate,Fish,Scombridae,Atlantic mackerel,Scomber scombrus,,Raw data,Y,,,,,,,4.05E+06,Alternate species length,Species,2.21E+05,Alternate species length,Species,m^3 per pred per day,0.18,9.32E+01,5.82E+01,1.93E+02,4.34E+01,4.16E+01,1.04E+02,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Carcharhiniformes,Squalus acanthias,,Metazoan,Vertebrate,Fish,Loliginidae,Longfin squid,Doryteuthis pealeii,,Raw data,Y,,,,,,,4.05E+06,Alternate species length,Species,8.22E+04,Alternate species length,Species,m^3 per pred per day,0.08,3.36E+00,2.37E+00,4.71E+00,4.52E+01,1.60E+01,9.45E+01,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Gadiformes,Pollachius virens,,Metazoan,Vertebrate,Fish,Clupeidae,Atlantic herring,Clupea harengus,,Raw data,Y,,,,,,,1.88E+06,Alternate species length,Species,3.41E+04,Alternate species length,Species,m^3 per pred per day,0.28,1.20E+03,1.30E+02,2.10E+04,8.89E+01,1.09E-01,1.79E+02,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Gadiformes,Pollachius virens,,Metazoan,Vertebrate,Fish,Merlucciidae,Silver hake,Merluccius bilinearis,,Raw data,Y,,,,,,,1.88E+06,Alternate species length,Species,4.45E+05,Alternate species length,Species,m^3 per pred per day,0.35,1.63E+01,1.14E+01,2.16E+01,5.03E+01,1.83E+01,1.12E+02,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Gadiformes,Merluccius bilinearis,,Metazoan,Vertebrate,Fish,Clupeidae,Atlantic herring,Clupea harengus,,Raw data,Y,,,,,,,4.45E+05,Alternate species length,Species,3.41E+04,Alternate species length,Species,m^3 per pred per day,0.2,5.12E+01,2.75E+01,5.74E+03,4.80E+01,1.92E+01,5.18E+02,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Gadiformes,Merluccius bilinearis,,Metazoan,Vertebrate,Fish,Merlucciidae,Silver hake,Merluccius bilinearis,,Raw data,Y,,,,,,,4.45E+05,Alternate species length,Species,4.45E+05,Alternate species length,Species,m^3 per pred per day,0.24,3.43E+00,3.09E+00,3.94E+00,2.88E+02,2.88E+02,3.14E+02,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Gadiformes,Merluccius bilinearis,,Metazoan,Vertebrate,Fish,Scombridae,Atlantic mackerel,Scomber scombrus,,Raw data,Y,,,,,,,4.45E+05,Alternate species length,Species,2.21E+05,Alternate species length,Species,m^3 per pred per day,0.11,4.32E+00,2.43E+00,8.85E+00,1.30E+02,1.00E+02,2.00E+02,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Gadiformes,Gadus morhua,,Metazoan,Vertebrate,Fish,Clupeidae,Atlantic herring,Clupea harengus,,Raw data,Y,,,,,,,1.03E+07,Alternate species length,Species,3.41E+04,Alternate species length,Species,m^3 per pred per day,0.39,8.82E+03,1.33E+03,1.35E+05,2.02E+01,1.78E+00,2.84E+01,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Gadiformes,Gadus morhua,,Metazoan,Vertebrate,Fish,Merlucciidae,Silver hake,Merluccius bilinearis,,Raw data,Y,,,,,,,1.03E+07,Alternate species length,Species,4.45E+05,Alternate species length,Species,m^3 per pred per day,0.17,2.19E+01,1.64E+01,3.18E+01,4.47E+01,4.47E+01,9.71E+01,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Gadiformes,Gadus morhua,,Metazoan,Vertebrate,Fish,Scombridae,Atlantic mackerel,Scomber scombrus,,Raw data,Y,,,,,,,1.03E+07,Alternate species length,Species,2.21E+05,Alternate species length,Species,m^3 per pred per day,0.24,2.68E+01,1.78E+01,4.98E+01,6.68E+01,3.60E+01,1.35E+02,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Gadiformes,Urophycis tenuis,,Metazoan,Vertebrate,Fish,Clupeidae,Atlantic herring,Clupea harengus,,Raw data,Y,,,,,,,2.84E+06,Alternate species length,Species,3.41E+04,Alternate species length,Species,m^3 per pred per day,0.29,3.94E+03,9.58E+02,4.58E+05,4.46E+01,2.43E+01,6.92E+01,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Gadiformes,Urophycis tenuis,,Metazoan,Vertebrate,Fish,Merlucciidae,Silver hake,Merluccius bilinearis,,Raw data,Y,,,,,,,2.84E+06,Alternate species length,Species,4.45E+05,Alternate species length,Species,m^3 per pred per day,0.31,3.28E+01,2.23E+01,1.33E+02,3.63E+01,3.47E+01,3.40E+02,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Lophiiformes,Lophius americanus,,Metazoan,Vertebrate,Fish,Clupeidae,Atlantic herring,Clupea harengus,,Raw data,Y,,,,,,,1.40E+07,Alternate species length,Species,3.41E+04,Alternate species length,Species,m^3 per pred per day,0.12,8.02E+03,1.05E+03,3.24E+05,2.76E+01,1.02E+01,4.42E+01,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Lophiiformes,Lophius americanus,,Metazoan,Vertebrate,Fish,Scombridae,Atlantic mackerel,Scomber scombrus,,Raw data,Y,,,,,,,1.40E+07,Alternate species length,Species,2.21E+05,Alternate species length,Species,m^3 per pred per day,0.37,1.21E+02,6.26E+01,5.43E+02,2.95E+01,1.23E+01,3.15E+02,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Lophiiformes,Lophius americanus,,Metazoan,Vertebrate,Fish,Loliginidae,Longfin squid,Doryteuthis pealeii,,Raw data,Y,,,,,,,1.40E+07,Alternate species length,Species,8.22E+04,Alternate species length,Species,m^3 per pred per day,0.07,3.81E+01,4.02E+00,1.01E+04,3.13E+02,2.21E+01,4.67E+02,200,,
Moustahfid et al 2010 OEC,3,In the field,Marine,Rajiformes,Leucoraja ocellata,,Metazoan,Vertebrate,Fish,Clupeidae,Atlantic herring,Clupea harengus,,Raw data,Y,,,,,,,3.20E+06,Alternate species length,Species,3.41E+04,Alternate species length,Species,m^3 per pred per day,0.17,2.54E+02,3.55E+01,5.14E+03,2.06E+02,5.74E+00,4.23E+02,200,,
Gustafsson et al 2010 ECOL FRE FISH,2,,Fresh,Salmoniformes,Salmo trutta,Adult A,Metazoan,Invertebrate,Insect,Diptera,House fly,Musca domestica,Adult (dead),Mean,N,24,10,,1,5000,125000,5.09E+03,Original species length,Species,8.69E+00,Alternate species length,Order,m^2 per pred per day,0.39,1.90E+03,1.11E+03,4.12E+03,6.76E-05,5.76E-05,7.80E-05,200,,
Gustafsson et al 2010 ECOL FRE FISH,2,,Fresh,Salmoniformes,Salmo trutta,Adult B,Metazoan,Invertebrate,Insect,Diptera,House fly,Musca domestica,Adult (dead),Mean,N,24,10,,1,5000,125000,1.79E+04,Original species length,Species,8.69E+00,Alternate species length,Order,m^2 per pred per day,0.57,2.41E+03,1.85E+03,3.74E+03,2.10E-05,1.65E-05,2.68E-05,200,,
Gustafsson et al 2010 ECOL FRE FISH,2,,Fresh,Salmoniformes,Salmo trutta,Adult C,Metazoan,Invertebrate,Insect,Diptera,House fly,Musca domestica,Adult (dead),Mean,N,24,10,,1,5000,125000,5.90E+04,Original species length,Species,8.69E+00,Alternate species length,Order,m^2 per pred per day,0.52,2.53E+03,1.53E+03,4.53E+03,1.49E-05,9.81E-06,2.09E-05,200,,
Gustafsson et al 2010 ECOL FRE FISH,2,,Fresh,Salmoniformes,Salmo trutta,Adult A,Metazoan,Invertebrate,Crustacean,Amphipod,,Gammarus spp.,dead,Mean,N,24,10,,1,5000,125000,5.09E+03,Original species length,Species,3.10E+00,Original species mass,,m^2 per pred per day,0.24,2.87E+03,1.59E+03,5.49E+03,5.81E-05,4.81E-05,7.00E-05,200,,
