source,dim,field,water,famly,species,type,prey_cellularity,vert,major_grouping_prey_1,major_grouping_prey_2,prey,prey_species,prey_type,data_type,replace_prey,starvation_time,temp,interference,preds_per_arena,arena_2d,arena_3d,pred_mass,pred_mass_source_code,pred_mass_reg_code,prey_mass,prey_mass_source_code,prey_mass_reg_code,a_units,mean_r2_of_fits,a,a_low,a_hi,h,h_low,h_hi,n_boots,notes_1,notes_2
Anderson 2001 ECOLOGY,3,,Marine,Perciformes,Paralabrax clathratus,,Metazoan,Vertebrate,Fish,Embiotocidae,Kelp perch,Brachyistius frenatus,Juvenile,Raw data,N,,,,2,,5000000,9.36E+04,Original species length,Species,2.75E+03,Original species length,Family,m^3 per pred per day,0.17,2.28E+00,1.13E+00,8.29E+00,2.15E-01,1.37E-01,3.04E-01,200,5.8-6.4kg of kelp,
Anderson 2001 ECOLOGY,3,,Marine,Perciformes,Paralabrax clathratus,,Metazoan,Vertebrate,Fish,Embiotocidae,Kelp perch,Brachyistius frenatus,Juvenile,Raw data,N,,,,2,,5000000,9.36E+04,Original species length,Species,2.75E+03,Original species length,Family,m^3 per pred per day,0.4,5.82E-01,4.56E-01,1.55E+00,1.54E-02,4.47E-10,1.75E-01,200,9.9-13.2kg of kelp,
Anderson 2001 ECOLOGY,3,,Marine,Perciformes,Paralabrax clathratus,,Metazoan,Vertebrate,Fish,Embiotocidae,Kelp perch,Brachyistius frenatus,Juvenile,Raw data,N,,,,2,,5000000,9.36E+04,Original species length,Species,2.75E+03,Original species length,Family,m^3 per pred per day,0.44,5.40E-01,3.35E-01,1.16E+00,9.64E-02,5.05E-10,2.59E-01,200,21.9-26.1kg of kelp,
Persson 1986 J ANIM ECOL,3,,Fresh,Cypriniformes,Rutilus rutilus,,Metazoan,Invertebrate,Insect,Diptera,Phantom midge,Chaoborus obscuripe,,Mean,N,,12,,5,,200000,1.09E+04,Original species mass,,8.69E+00,Alternate species length,Order,m^3 per pred per day,0.68,2.65E+04,1.93E+04,3.77E+04,1.68E-05,1.39E-05,1.98E-05,200,,
Persson 1986 J ANIM ECOL,3,,Fresh,Perciformes,Perca fluviatilis,,Metazoan,Invertebrate,Insect,Diptera,Phantom midge,Chaoborus obscuripe,,Mean,N,,12,,2,,200000,2.91E+04,Original species mass,,8.69E+00,Alternate species length,Order,m^3 per pred per day,0.61,5.93E+04,4.27E+04,8.23E+04,1.47E-05,1.34E-05,1.64E-05,200,,
Persson 1986 J ANIM ECOL,3,,Fresh,Cypriniformes,Rutilus rutilus,,Metazoan,Invertebrate,Insect,Diptera,Phantom midge,Chaoborus obscuripe,,Mean,N,,15,,5,,200000,1.09E+04,Original species mass,,8.69E+00,Alternate species length,Order,m^3 per pred per day,0.62,8.80E+04,6.20E+04,1.20E+05,1.66E-05,1.55E-05,1.82E-05,200,,
Persson 1986 J ANIM ECOL,3,,Fresh,Perciformes,Perca fluviatilis,,Metazoan,Invertebrate,Insect,Diptera,Phantom midge,Chaoborus obscuripe,,Mean,N,,15,,2,,200000,2.91E+04,Original species mass,,8.69E+00,Alternate species length,Order,m^3 per pred per day,0.67,1.07E+05,8.44E+04,1.41E+05,1.06E-05,9.44E-06,1.19E-05,200,,
Persson 1986 J ANIM ECOL,3,,Fresh,Cypriniformes,Rutilus rutilus,,Metazoan,Invertebrate,Insect,Diptera,Phantom midge,Chaoborus obscuripe,,Mean,N,,18,,5,,200000,1.09E+04,Original species mass,,8.69E+00,Alternate species length,Order,m^3 per pred per day,0.54,5.78E+04,3.73E+04,9.55E+04,8.42E-06,6.83E-06,1.07E-05,200,,
Persson 1986 J ANIM ECOL,3,,Fresh,Perciformes,Perca fluviatilis,,Metazoan,Invertebrate,Insect,Diptera,Phantom midge,Chaoborus obscuripe,,Mean,N,,18,,2,,200000,2.91E+04,Original species mass,,8.69E+00,Alternate species length,Order,m^3 per pred per day,0.58,1.07E+05,7.50E+04,1.70E+05,1.12E-05,9.90E-06,1.25E-05,200,,
Persson 1986 J ANIM ECOL,3,,Fresh,Cypriniformes,Rutilus rutilus,,Metazoan,Invertebrate,Insect,Diptera,Phantom midge,Chaoborus obscuripe,,Mean,N,,21,,5,,200000,1.09E+04,Original species mass,,8.69E+00,Alternate species length,Order,m^3 per pred per day,0.71,1.62E+05,1.23E+05,2.22E+05,7.64E-06,7.06E-06,8.16E-06,200,,
Persson 1986 J ANIM ECOL,3,,Fresh,Perciformes,Perca fluviatilis,,Metazoan,Invertebrate,Insect,Diptera,Phantom midge,Chaoborus obscuripe,,Mean,N,,21,,2,,200000,2.91E+04,Original species mass,,8.69E+00,Alternate species length,Order,m^3 per pred per day,0.55,1.88E+05,1.24E+05,2.99E+05,9.12E-06,8.37E-06,9.89E-06,200,,
Harborne 2012 CORAL REEFS,3,,Marine,Perciformes,Cephalopholis cruentata,Wild caught,Metazoan,Vertebrate,Fish,Perciformes,Rainbow wrasse,Halichoeres pictus,Wild caught,Raw data,N,48,25.8,,1,,750000,9.97E+04,Original species mass,,1.35E+02,Original species length,Genus,m^3 per pred per day,0.08,1.30E+00,4.97E-01,1.01E+01,1.71E-01,7.64E-02,2.49E-01,200,Winter,
Harborne 2012 CORAL REEFS,3,,Marine,Perciformes,Cephalopholis cruentata,Wild caught,Metazoan,Vertebrate,Fish,Perciformes,Rainbow wrasse,Halichoeres pictus,Wild caught,Raw data,N,48,28.8,,1,,750000,9.97E+04,Original species mass,,1.35E+02,Original species length,Genus,m^3 per pred per day,0.28,6.47E-01,3.82E-01,1.44E+00,4.77E-02,2.35E-08,8.72E-02,200,Summer,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year A,Metazoan,Invertebrate,Crustacean,Cladoceran,Zooplankton,Daphnia spp.,,Mean,N,24,21,,1,,72000,7.12E+01,Original species length,Species,3.76E-01,Original genus length,Order,m^3 per pred per day,0.2,1.71E+00,3.92E-01,8.37E+00,4.49E-04,2.98E-04,6.16E-04,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year A,Metazoan,Vertebrate,Fish,Cyprinidae,Common carp,Cyprinus carpio,Larva A,Mean,N,24,21,,1,,72000,7.12E+01,Original species length,Species,4.78E+00,Original species length,Species,m^3 per pred per day,0.28,1.06E+01,4.35E+00,2.85E+01,4.63E-03,1.90E-03,7.14E-03,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year B,Metazoan,Invertebrate,Crustacean,Cladoceran,Zooplankton,Daphnia spp.,,Mean,N,24,21,,1,,72000,2.50E+02,Original species length,Species,3.76E-01,Original genus length,Order,m^3 per pred per day,0.08,7.52E+00,2.58E+00,1.68E+01,3.56E-04,3.10E-04,4.03E-04,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,2,,Fresh,Perciformes,Sander vitreus,Young of the year B,Metazoan,Invertebrate,Insect,Diptera,Benthos,Chironomidae,Larva,Mean,N,24,21,,1,,72000,2.50E+02,Original species length,Species,3.09E+00,Original family length,Family,m^2 per pred per day,0.03,7.08E+01,2.29E+01,2.55E+02,2.13E-03,1.67E-03,2.90E-03,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year B,Metazoan,Vertebrate,Fish,Cyprinidae,Common carp,Cyprinus carpio,Larva B,Mean,N,24,21,,1,,72000,2.50E+02,Original species length,Species,1.54E+01,Original species length,Species,m^3 per pred per day,0.44,3.59E+00,2.50E+00,8.72E+00,4.07E-05,2.34E-11,4.75E-03,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year C,Metazoan,Invertebrate,Crustacean,Cladoceran,Zooplankton,Daphnia spp.,,Mean,N,24,21,,1,,72000,6.10E+02,Original species length,Species,3.76E-01,Original genus length,Order,m^3 per pred per day,0.17,4.65E+00,1.33E-01,1.54E+01,1.75E-04,1.51E-05,2.64E-04,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,2,,Fresh,Perciformes,Sander vitreus,Young of the year C,Metazoan,Invertebrate,Insect,Diptera,Benthos,Chironomidae,Larva,Mean,N,24,21,,1,,72000,6.10E+02,Original species length,Species,3.09E+00,Original family length,Family,m^2 per pred per day,0.16,4.87E+01,2.48E+01,1.31E+02,1.18E-03,9.27E-04,1.51E-03,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year C,Metazoan,Vertebrate,Fish,Centrarchidae,Bluegill,Lepomis macrochirus,Larva A,Mean,N,24,21,,1,,72000,6.10E+02,Original species length,Species,2.13E+01,Original species length,Species,m^3 per pred per day,0.37,4.93E+00,3.07E+00,2.03E+01,6.86E-04,2.30E-11,5.57E-03,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year D,Metazoan,Invertebrate,Crustacean,Cladoceran,Zooplankton,Daphnia spp.,,Mean,N,24,21,,1,,72000,1.22E+03,Original species length,Species,3.76E-01,Original genus length,Order,m^3 per pred per day,0.23,9.57E+00,4.73E+00,2.46E+01,1.52E-04,1.32E-04,1.84E-04,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,2,,Fresh,Perciformes,Sander vitreus,Young of the year D,Metazoan,Invertebrate,Insect,Diptera,Benthos,Chironomidae,Larva,Mean,N,24,21,,1,,72000,1.22E+03,Original species length,Species,3.09E+00,Original family length,Family,m^2 per pred per day,0.63,3.38E+01,2.08E+01,5.97E+01,4.71E-04,3.87E-04,6.18E-04,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year D,Metazoan,Vertebrate,Fish,Centrarchidae,Bluegill,Lepomis macrochirus,Larva B,Mean,N,24,21,,1,,72000,1.22E+03,Original species length,Species,4.31E+01,Original species length,Species,m^3 per pred per day,0.04,4.17E+01,1.66E+01,1.91E+02,6.73E-03,5.25E-03,8.69E-03,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year E,Metazoan,Invertebrate,Crustacean,Cladoceran,Zooplankton,Daphnia spp.,,Mean,N,24,21,,1,,72000,2.14E+03,Original species length,Species,3.76E-01,Original genus length,Order,m^3 per pred per day,0.52,3.11E+00,1.20E+00,7.10E+00,1.09E-04,8.10E-05,1.45E-04,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,2,,Fresh,Perciformes,Sander vitreus,Young of the year E,Metazoan,Invertebrate,Insect,Diptera,Benthos,Chironomidae,Larva,Mean,N,24,21,,1,,72000,2.14E+03,Original species length,Species,3.09E+00,Original family length,Family,m^2 per pred per day,0.65,3.83E+01,2.18E+01,7.63E+01,3.18E-04,2.37E-04,4.04E-04,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year E,Metazoan,Vertebrate,Fish,Centrarchidae,Bluegill,Lepomis macrochirus,Larva C,Mean,N,24,21,,1,,72000,2.14E+03,Original species length,Species,7.65E+01,Original species length,Species,m^3 per pred per day,0.29,7.90E+00,3.79E+00,3.18E+01,4.51E-03,2.26E-03,6.61E-03,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year F,Metazoan,Invertebrate,Crustacean,Cladoceran,Zooplankton,Daphnia spp.,,Mean,N,24,21,,1,,72000,3.46E+03,Original species length,Species,3.76E-01,Original genus length,Order,m^3 per pred per day,0.38,3.98E+00,1.58E+00,1.26E+01,1.19E-04,7.58E-05,1.90E-04,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,2,,Fresh,Perciformes,Sander vitreus,Young of the year F,Metazoan,Invertebrate,Insect,Diptera,Benthos,Chironomidae,Larva,Mean,N,24,21,,1,,72000,3.46E+03,Original species length,Species,3.09E+00,Original family length,Family,m^2 per pred per day,0.5,3.01E+02,1.33E+02,5.68E+02,2.49E-05,1.16E-05,4.08E-05,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year F,Metazoan,Vertebrate,Fish,Centrarchidae,Bluegill,Lepomis macrochirus,Larva D,Mean,N,24,21,,1,,72000,3.46E+03,Original species length,Species,1.24E+02,Original species length,Species,m^3 per pred per day,0.28,1.02E+01,3.98E+00,2.54E+01,3.84E-03,1.72E-03,5.34E-03,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year G,Metazoan,Invertebrate,Crustacean,Cladoceran,Zooplankton,Daphnia spp.,,Mean,N,24,21,,1,,72000,5.23E+03,Original species length,Species,3.76E-01,Original genus length,Order,m^3 per pred per day,0.35,2.95E+00,1.46E+00,8.65E+00,1.49E-04,1.09E-04,2.08E-04,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,2,,Fresh,Perciformes,Sander vitreus,Young of the year G,Metazoan,Invertebrate,Insect,Diptera,Benthos,Chironomidae,Larva,Mean,N,24,21,,1,,72000,5.23E+03,Original species length,Species,3.09E+00,Original family length,Family,m^2 per pred per day,0.73,2.87E+01,2.00E+01,4.96E+01,2.36E-04,1.90E-04,3.10E-04,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year G,Metazoan,Vertebrate,Fish,Centrarchidae,Bluegill,Lepomis macrochirus,Larva E,Mean,N,24,21,,1,,72000,5.23E+03,Original species length,Species,1.89E+02,Original species length,Species,m^3 per pred per day,0.5,5.07E+00,3.81E+00,1.89E+01,4.93E-10,2.30E-11,3.94E-03,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year H,Metazoan,Invertebrate,Crustacean,Cladoceran,Zooplankton,Daphnia spp.,,Mean,N,24,21,,1,,72000,7.54E+03,Original species length,Species,3.76E-01,Original genus length,Order,m^3 per pred per day,0.22,1.84E+00,1.70E-01,9.66E+00,2.86E-04,1.12E-04,4.26E-04,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,2,,Fresh,Perciformes,Sander vitreus,Young of the year H,Metazoan,Invertebrate,Insect,Diptera,Benthos,Chironomidae,Larva,Mean,N,24,21,,1,,72000,7.54E+03,Original species length,Species,3.09E+00,Original family length,Family,m^2 per pred per day,0.5,3.45E+01,1.54E+01,7.12E+01,3.44E-04,2.56E-04,4.73E-04,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year H,Metazoan,Vertebrate,Fish,Centrarchidae,Bluegill,Lepomis macrochirus,Larva F,Mean,N,24,21,,1,,72000,7.54E+03,Original species length,Species,2.74E+02,Original species length,Species,m^3 per pred per day,0.47,5.59E+00,3.55E+00,1.14E+01,1.70E-03,2.43E-11,4.33E-03,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year I,Metazoan,Invertebrate,Crustacean,Cladoceran,Zooplankton,Daphnia spp.,,Mean,N,24,21,,1,,72000,1.04E+04,Original species length,Species,3.76E-01,Original genus length,Order,m^3 per pred per day,0.28,3.94E+00,1.14E+00,2.15E+01,1.19E-04,6.60E-05,2.02E-04,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,2,,Fresh,Perciformes,Sander vitreus,Young of the year I,Metazoan,Invertebrate,Insect,Diptera,Benthos,Chironomidae,Larva,Mean,N,24,21,,1,,72000,1.04E+04,Original species length,Species,3.09E+00,Original family length,Family,m^2 per pred per day,0.69,2.97E+01,1.33E+01,5.25E+01,2.08E-04,1.62E-04,2.61E-04,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year I,Metazoan,Vertebrate,Fish,Centrarchidae,Bluegill,Lepomis macrochirus,Larva G,Mean,N,24,21,,1,,72000,1.04E+04,Original species length,Species,3.82E+02,Original species length,Species,m^3 per pred per day,0.45,7.86E+00,4.37E+00,1.78E+01,2.91E-03,1.62E-03,4.74E-03,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year J,Metazoan,Invertebrate,Crustacean,Cladoceran,Zooplankton,Daphnia spp.,,Mean,N,24,21,,1,,72000,3.67E+04,Original species length,Species,3.76E-01,Original genus length,Order,m^3 per pred per day,0.11,1.20E-01,2.92E-02,5.99E-01,1.10E-02,6.06E-03,1.60E-02,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,2,,Fresh,Perciformes,Sander vitreus,Young of the year J,Metazoan,Invertebrate,Insect,Diptera,Benthos,Chironomidae,Larva,Mean,N,24,21,,1,,72000,3.67E+04,Original species length,Species,3.09E+00,Original family length,Family,m^2 per pred per day,0.67,1.77E+01,8.55E+00,3.92E+01,2.48E-04,9.24E-05,4.13E-04,200,,
Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,3,,Fresh,Perciformes,Sander vitreus,Young of the year J,Metazoan,Vertebrate,Fish,Centrarchidae,Bluegill,Lepomis macrochirus,Larva H,Mean,N,24,21,,1,,72000,3.67E+04,Original species length,Species,1.37E+03,Original species length,Species,m^3 per pred per day,0.28,3.79E+00,2.06E+00,4.55E+01,5.46E-04,2.30E-11,8.98E-03,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,1wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus rotundiformis,,Mean,N,2,25,,2,,50,,,,3.54E-03,Original species length,Zooplankton,m^3 per pred per day,0.48,7.73E-04,3.77E-04,1.62E-03,5.15E-04,2.24E-04,7.57E-04,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,2wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus rotundiformis,,Mean,N,2,25,,2,,50,,,,3.54E-03,Original species length,Zooplankton,m^3 per pred per day,0.65,1.22E-03,9.31E-04,1.73E-03,2.35E-04,1.67E-04,3.26E-04,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,3wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus rotundiformis,,Mean,N,2,25,,2,,50,,,,3.54E-03,Original species length,Zooplankton,m^3 per pred per day,0.77,1.19E-03,6.42E-04,2.24E-03,2.38E-04,1.55E-04,3.21E-04,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,4wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus rotundiformis,,Mean,N,2,25,,2,,50,,,,3.54E-03,Original species length,Zooplankton,m^3 per pred per day,0.93,9.12E-04,6.51E-04,1.55E-03,3.39E-05,3.32E-06,6.22E-05,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,5wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus rotundiformis,,Mean,N,2,25,,2,,50,,,,3.54E-03,Original species length,Zooplankton,m^3 per pred per day,0.61,1.07E-03,5.54E-04,2.05E-03,6.54E-05,1.18E-12,2.18E-04,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,6wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus rotundiformis,,Mean,N,2,25,,2,,50,,,,3.54E-03,Original species length,Zooplankton,m^3 per pred per day,0.88,2.70E-03,2.04E-03,3.55E-03,9.47E-05,6.67E-05,1.22E-04,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,1wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus rubens,,Mean,N,2,25,,2,,50,,,,2.76E-03,Original species length,Zooplankton,m^3 per pred per day,0.69,7.03E-04,3.30E-04,1.37E-03,1.21E-04,1.23E-12,2.82E-04,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,2wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus rubens,,Mean,N,2,25,,2,,50,,,,2.76E-03,Original species length,Zooplankton,m^3 per pred per day,0.88,1.35E-03,7.28E-04,1.94E-03,3.20E-05,1.23E-12,4.54E-05,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,3wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus rubens,,Mean,N,2,25,,2,,50,,,,2.76E-03,Original species length,Zooplankton,m^3 per pred per day,0.78,9.86E-04,6.70E-04,2.21E-03,5.84E-05,1.22E-12,1.14E-04,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,4wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus rubens,,Mean,N,2,25,,2,,50,,,,2.76E-03,Original species length,Zooplankton,m^3 per pred per day,0.88,1.18E-03,6.31E-04,1.64E-03,4.03E-05,5.79E-12,6.47E-05,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,5wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus rubens,,Mean,N,2,25,,2,,50,,,,2.76E-03,Original species length,Zooplankton,m^3 per pred per day,0.89,1.49E-03,7.62E-04,2.29E-03,3.68E-05,3.65E-12,4.83E-05,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,6wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus rubens,,Mean,N,2,25,,2,,50,,,,2.76E-03,Original species length,Zooplankton,m^3 per pred per day,0.94,3.61E-03,2.96E-03,5.02E-03,4.72E-05,3.74E-05,5.76E-05,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,2wk old larva,Metazoan,Invertebrate,Crustacean,Cladoceran,,Ceriodaphnia dubia,,Mean,N,2,25,,2,,50,,,,1.06E-02,Original species length,Order,m^3 per pred per day,0.49,9.74E-04,3.76E-04,2.11E-03,2.28E-03,1.17E-03,3.46E-03,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,3wk old larva,Metazoan,Invertebrate,Crustacean,Cladoceran,,Ceriodaphnia dubia,,Mean,N,2,25,,2,,50,,,,1.06E-02,Original species length,Order,m^3 per pred per day,0.66,1.38E-03,6.51E-04,2.51E-03,9.93E-04,5.49E-04,1.43E-03,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,4wk old larva,Metazoan,Invertebrate,Crustacean,Cladoceran,,Ceriodaphnia dubia,,Mean,N,2,25,,2,,50,,,,1.06E-02,Original species length,Order,m^3 per pred per day,0.7,8.90E-04,4.70E-04,1.57E-03,1.02E-03,6.32E-04,1.36E-03,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,5wk old larva,Metazoan,Invertebrate,Crustacean,Cladoceran,,Ceriodaphnia dubia,,Mean,N,2,25,,2,,50,,,,1.06E-02,Original species length,Order,m^3 per pred per day,0.53,1.59E-03,1.08E-03,2.10E-03,5.86E-04,4.22E-04,7.89E-04,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,6wk old larva,Metazoan,Invertebrate,Crustacean,Cladoceran,,Ceriodaphnia dubia,,Mean,N,2,25,,2,,50,,,,1.06E-02,Original species length,Order,m^3 per pred per day,0.08,1.34E-02,4.02E-03,8.66E-02,8.60E-04,7.63E-04,9.74E-04,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,2wk old larva,Metazoan,Invertebrate,Crustacean,Cladoceran,,Moina macrocopa,,Mean,N,2,25,,2,,50,,,,1.83E-01,Original species length,Order,m^3 per pred per day,0.52,3.81E-04,1.62E-04,9.56E-04,2.75E-04,2.25E-11,4.04E-03,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,3wk old larva,Metazoan,Invertebrate,Crustacean,Cladoceran,,Moina macrocopa,,Mean,N,2,25,,2,,50,,,,1.83E-01,Original species length,Order,m^3 per pred per day,0.52,1.80E-03,1.03E-03,3.21E-03,1.22E-03,8.04E-04,1.89E-03,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,4wk old larva,Metazoan,Invertebrate,Crustacean,Cladoceran,,Moina macrocopa,,Mean,N,2,25,,2,,50,,,,1.83E-01,Original species length,Order,m^3 per pred per day,0.74,1.07E-03,7.35E-04,1.54E-03,6.01E-04,4.83E-04,7.70E-04,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,5wk old larva,Metazoan,Invertebrate,Crustacean,Cladoceran,,Moina macrocopa,,Mean,N,2,25,,2,,50,,,,1.83E-01,Original species length,Order,m^3 per pred per day,0.65,1.02E-03,5.16E-04,1.64E-03,2.69E-04,3.09E-11,5.45E-04,200,,
Morales-Ventura et al 2004 J APPL ICHTHYOL,3,,Marine,Atheriniformes,Chirostoma riojai,6wk old larva,Metazoan,Invertebrate,Crustacean,Cladoceran,,Moina macrocopa,,Mean,N,2,25,,2,,50,,,,1.83E-01,Original species length,Order,m^3 per pred per day,0.06,3.48E-03,1.33E-03,2.45E-02,5.73E-04,3.69E-04,7.16E-04,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,1wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus calyciflorus,,Mean,N,6,23,,1,,25,,,,2.00E-04,Alternate species mass,,m^3 per pred per day,0.07,3.85E-04,7.67E-05,6.42E-03,3.48E-03,1.96E-03,5.37E-03,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,2wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus calyciflorus,,Mean,N,6,23,,1,,25,,,,2.00E-04,Alternate species mass,,m^3 per pred per day,0.65,4.47E-04,2.91E-04,7.43E-04,7.63E-04,6.16E-04,9.26E-04,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,3wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus calyciflorus,,Mean,N,6,23,,1,,25,,,,2.00E-04,Alternate species mass,,m^3 per pred per day,0.7,7.65E-04,5.47E-04,1.11E-03,5.86E-04,5.14E-04,6.50E-04,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,4wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus calyciflorus,,Mean,N,6,23,,1,,25,,,,2.00E-04,Alternate species mass,,m^3 per pred per day,0.51,8.48E-04,4.98E-04,1.49E-03,6.81E-04,5.46E-04,8.11E-04,200,,
