Source,Predator scientific name,Prey scientific name,duration,duration1,duration_notes,units,locale,country,country_notes
Alanis et al 2009 BRAZ ARCH BIOL & TECH,Moenkhausia sanctaefilomenae,Brachionus havanaensis,NA,NA,NA,NA,NA,NA,NA
Alanis et al 2009 BRAZ ARCH BIOL & TECH,Moenkhausia sanctaefilomenae,Brachionus patulus,NA,NA,NA,NA,NA,NA,NA
Alanis et al 2009 BRAZ ARCH BIOL & TECH,Moenkhausia sanctaefilomenae,Brachionus rubens,NA,NA,NA,NA,NA,NA,NA
Ware 1972 J FISHERIES RES BOARD CANADA,Oncorhynchus mykiss,Crangonyx richmondensis,NA,NA,NA,NA,NA,NA,NA
Ryer et al 2002 CJFAS,Gadus chalcogrammus,Artemia spp.,NA,NA,NA,NA,NA,NA,NA
Ryer et al 2002 CJFAS,Anoplopoma fimbria,Artemia spp.,NA,NA,NA,NA,NA,NA,NA
Murray et al 2013 ETHOLOGY,Rutilus rutilus,NA,NA,NA,NA,NA,NA,NA,NA
Murdoch et al 1975 ECOLOGY,Poecilia reticulata,Drosophila spp.,NA,NA,NA,NA,NA,NA,NA
Murdoch et al 1975 ECOLOGY,Poecilia reticulata,Tubifex spp.,NA,NA,NA,NA,NA,NA,NA
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Alburnus chalcoides,Cyclops spp.,NA,NA,NA,NA,NA,NA,NA
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Alburnus chalcoides,Daphnia hyalina,NA,NA,NA,NA,NA,NA,NA
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Alburnus chalcoides,Bythotrephes longimanus,NA,NA,NA,NA,NA,NA,NA
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Alburnus chalcoides,Leptodora kindtii,NA,NA,NA,NA,NA,NA,NA
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Vimba vimba,Cyclops spp.,NA,NA,NA,NA,NA,NA,NA
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Vimba vimba,Bythotrephes longimanus,NA,NA,NA,NA,NA,NA,NA
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Vimba vimba,Leptodora kindtii,NA,NA,NA,NA,NA,NA,NA
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Abramis brama,Cyclops spp.,NA,NA,NA,NA,NA,NA,NA
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Abramis brama,Bythotrephes longimanus,NA,NA,NA,NA,NA,NA,NA
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Abramis brama,Leptodora kindtii,NA,NA,NA,NA,NA,NA,NA
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Rutilus rutilus,Cyclops spp.,NA,NA,NA,NA,NA,NA,NA
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Rutilus rutilus,Bythotrephes longimanus,NA,NA,NA,NA,NA,NA,NA
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Scardinius erythrophthalmus,Bythotrephes longimanus,NA,NA,NA,NA,NA,NA,NA
Bryan et al 1995 CANADIAN J OF FISHERIES AND AQUA SCIES,Lepomis macrochirus,Daphnia pulex and D. magna,NA,NA,NA,NA,NA,NA,NA
Sandheinrich and Atchison 1989 CJFAS,Lepomis macrochirus,Daphnia pulex,NA,NA,NA,NA,NA,NA,NA
Sandheinrich and Atchison 1989 CJFAS,Lepomis macrochirus,Daphnia magna,NA,NA,NA,NA,NA,NA,NA
Sandheinrich and Atchison 1989 CJFAS,Lepomis macrochirus,Hyalella azteca,NA,NA,NA,NA,NA,NA,NA
Sandheinrich and Atchison 1989 CJFAS,Lepomis macrochirus,Enallagma spp.,NA,NA,NA,NA,NA,NA,NA
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,Anchoa mitchilli,"Oithona nana, Acartia tonsa, and Paracalanus parvus",NA,NA,NA,NA,NA,NA,NA
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,Archosargus rhomboidalis,"Oithona nana, Acartia tonsa, and Paracalanus parvus",NA,NA,NA,NA,NA,NA,NA
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,Achirus lineatus,"Oithona nana, Acartia tonsa, and Paracalanus parvus",NA,NA,NA,NA,NA,NA,NA
Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH,Salvelinus namaycush,Daphnia pulicaria,NA,NA,NA,NA,NA,NA,NA
Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH,Salvelinus namaycush,Bythotrephes cederstroemi,NA,NA,NA,NA,NA,NA,NA
Ware 1972 J FISH RES BOARD CAN,Oncorhynchus mykiss,Crangonyx richmondensis,NA,NA,NA,NA,NA,NA,NA
Ware 1972 J FISH RES BOARD CAN,Oncorhynchus mykiss,Hyalella azteca,NA,NA,NA,NA,NA,NA,NA
Letcher et al 1997 CJFAS,Perca fluviatilis,Artemia spp.,NA,NA,NA,NA,NA,NA,NA
Letcher et al 1997 CJFAS,Coregonus hoyi,Artemia spp.,NA,NA,NA,NA,NA,NA,NA
Letcher et al 1997 CJFAS,Alosa pseudoharengus,Artemia spp.,NA,NA,NA,NA,NA,NA,NA
